epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1778.31,0.19154,0.17596,0.15228,0.87815,0.8605,0.95,0.937,0.92508,0.8605,0.95,0.937,0.9223,0.23335,0.34997,0.51818,0.82621,0.00021471,0.00021471,0.00021471
90,1797.77,0.19228,0.17638,0.15444,0.88208,0.9132,0.95,0.94536,0.94134,0.9132,0.95,0.94536,0.92994,0.22896,0.38131,0.43326,0.82823,0.000198206,0.000198206,0.000198206
91,1819.45,0.11297,0.11053,0.11463,0.83779,0.8998,0.9,0.94466,0.92958,0.8998,0.9,0.94466,0.93323,0.27349,0.33142,0.52799,0.86284,0.000181703,0.000181703,0.000181703
92,1838.89,0.11262,0.10996,0.10544,0.83555,0.90431,0.94521,0.95713,0.95058,0.90431,0.94521,0.95713,0.94245,0.24972,0.35748,0.43236,0.83871,0.0001652,0.0001652,0.0001652
93,1858.43,0.10548,0.10918,0.10084,0.82858,0.94987,0.94751,0.9603,0.95695,0.94987,0.94751,0.9603,0.9529,0.21204,0.35385,0.34419,0.80167,0.000148696,0.000148696,0.000148696
94,1877.81,0.10828,0.10755,0.09901,0.83413,0.93526,0.95,0.96036,0.95205,0.93526,0.95,0.96036,0.9455,0.23871,0.372,0.42081,0.81968,0.000132193,0.000132193,0.000132193
95,1897.3,0.10238,0.09893,0.10207,0.83268,0.94636,0.95,0.9628,0.95948,0.94636,0.95,0.9628,0.95571,0.22716,0.33956,0.3783,0.81479,0.00011569,0.00011569,0.00011569
96,1916.77,0.09743,0.10154,0.09557,0.82295,0.94206,0.95,0.9628,0.95972,0.94206,0.95,0.9628,0.94899,0.21829,0.36423,0.33897,0.80392,9.91865e-05,9.91865e-05,9.91865e-05
97,1936.17,0.09462,0.10038,0.09121,0.82999,0.90455,0.94783,0.96239,0.95924,0.90455,0.94783,0.96239,0.94808,0.22508,0.36736,0.42105,0.79888,8.26832e-05,8.26832e-05,8.26832e-05
98,1955.44,0.09189,0.10025,0.08716,0.82751,0.9046,0.94834,0.96136,0.95813,0.9046,0.94834,0.96136,0.95296,0.21488,0.37105,0.42822,0.79459,6.61799e-05,6.61799e-05,6.61799e-05
99,1975.36,0.08951,0.09919,0.08542,0.82592,0.94937,0.9381,0.95861,0.95514,0.94937,0.9381,0.95861,0.9386,0.20283,0.39977,0.37396,0.78829,4.96766e-05,4.96766e-05,4.96766e-05
100,1994.63,0.08665,0.09946,0.0831,0.81496,0.94995,0.94903,0.9628,0.95948,0.94995,0.94903,0.9628,0.94361,0.18941,0.39418,0.33993,0.78471,3.31733e-05,3.31733e-05,3.31733e-05
